gene,scores,logfoldchanges,pvals,pvals_adj,abs_lfc,aki_biomarker
ACVR1C,0.07815113,0.96584284,0.9377078340256982,1.0,0.96584284,False
RP11-182N22.8,0.078142665,0.8084604,0.9377145679029424,1.0,0.8084604,False
RP11-80A15.1,0.078142665,0.7157552,0.9377145679029424,1.0,0.7157552,False
C15orf59-AS1,0.07813843,0.911922,0.937717934843235,1.0,0.911922,False
RP11-399K21.13,0.0781342,0.6541427,0.9377213017846411,1.0,0.6541427,False
RP11-809O17.1,0.07812997,0.7010983,0.9377246687271608,1.0,0.7010983,False
RP11-173C1.1,0.078117274,0.53374195,0.9377347695614003,1.0,0.53374195,False
C7orf25,0.078015685,0.22920601,0.9378155765958837,1.0,0.22920601,False
AMIGO1,0.07799452,0.15231706,0.9378324114753703,1.0,0.15231706,False
SULT1B1,0.07796066,0.30958042,0.9378593473403462,1.0,0.30958042,False
DYNC1LI1,0.07794373,-0.3044145,0.9378728152995014,1.0,0.3044145,False
NANP,0.07793315,-0.027775006,0.9378812327829992,1.0,0.027775006,False
RASSF8,0.0776432,-0.32363102,0.9381118745285063,1.0,0.32363102,False
AKT1S1,0.07727919,-0.30082285,0.9384014466968239,1.0,0.30082285,False
RPS10,0.07685803,0.10160572,0.9387364851233229,1.0,0.10160572,False
CTAG2,0.07645592,1.7868334,0.9390563811795093,1.0,1.7868334,False
LINC00864-1,0.07643899,0.55917144,0.9390698507032677,1.0,0.55917144,False
RP11-179K3.2,0.0764009,1.5076444,0.939100157195454,1.0,1.5076444,False
RP11-307C12.13,0.07632894,1.0392306,0.9391574030324319,1.0,1.0392306,False
AC108868.6,0.076326825,0.75088173,0.9391590867382806,1.0,0.75088173,False
C2orf27B,0.07632471,0.7991574,0.9391607704444014,1.0,0.7991574,False
AL928768.3,0.07631624,0.975078,0.9391675052716041,1.0,0.975078,False
RP11-661A12.9,0.07629931,-1.2533299,0.939180974939062,1.0,1.2533299,False
RP11-314C16.1,0.07626545,0.33773977,0.9392079143261756,1.0,0.33773977,False
AJ006998.2,0.07625487,0.1907853,0.9392163328989174,1.0,0.1907853,False
NPHS2,0.07614058,-0.07542226,0.93930725391719,1.0,0.07542226,False
SRXN1,0.076098256,-0.37864938,0.9393409285692409,1.0,0.37864938,False
CTD-2350C19.2,0.075814664,0.03009255,0.939566551532962,1.0,0.03009255,False
RPL11,0.07536599,0.28449193,0.9399235171679979,1.0,0.28449193,False
PRKAR2A-AS1,0.07454484,0.8714929,0.9405768628429635,1.0,0.8714929,False
CTD-2135D7.5,0.07451521,0.9891469,0.9406004379216526,1.0,0.9891469,False
AC129778.2,0.07451521,0.6589603,0.9406004379216526,1.0,0.6589603,False
AC005932.1,0.07451098,0.9874766,0.9406038057942862,1.0,0.9874766,False
RP11-1348G14.8,0.074485585,0.83684874,0.9406240130523913,1.0,0.83684874,False
FAM53A,0.07448135,-0.27201122,0.9406273809324589,1.0,0.27201122,False
CTD-2024P10.2,0.074455954,0.40675658,0.9406475882351591,1.0,0.40675658,False
FADS6,0.07442632,0.19359961,0.9406711634699354,1.0,0.19359961,False
C17orf107,0.0741385,-0.17614637,0.9409001827387157,1.0,0.17614637,False
ALDH3A1,0.07319036,0.59833306,0.9416546336162316,1.0,0.59833306,False
RP11-807H17.1,0.07283058,-0.22068585,0.9419409345192513,1.0,0.22068585,False
RP11-266J6.2,0.07282423,1.9646276,0.9419459869555996,1.0,1.9646276,False
ZNF296,0.072731115,1.2482947,0.9420200896236589,1.0,1.2482947,False
TRGC1,0.07272688,1.2952507,0.9420234579386821,1.0,1.2952507,False
IGLC2,0.07272477,0.72998285,0.9420251420965826,1.0,0.72998285,False
HBG2,0.07272265,1.1820883,0.9420268262547423,1.0,1.1820883,False
MMACHC,0.07270783,-0.18536676,0.9420386153691174,1.0,0.18536676,False
CRIP3,0.072705716,0.35675207,0.9420402995293505,1.0,0.35675207,False
PINK1-AS,0.07268879,0.32548854,0.942053772820544,1.0,0.32548854,False
CTC-232P5.1,0.07268879,0.8095267,0.942053772820544,1.0,0.8095267,False
RPS4Y2,0.072676085,0.54721206,0.9420638777998209,1.0,0.54721206,False
ADGRE2,0.07266339,0.3603449,0.9420739827884232,1.0,0.3603449,False
PARVG,0.07246657,-0.52264726,0.9422306113030422,1.0,0.52264726,False
CTD-2547L16.1,0.0722126,-0.018943114,0.9424327159124046,1.0,0.018943114,False
HOOK1,0.07136606,-0.14698763,0.9431064246400381,1.0,0.14698763,False
CHUK,0.07096395,-0.1909716,0.9434264505739413,1.0,0.1909716,False
CTD-2139B15.2,0.07093855,0.7016173,0.9434466630453255,1.0,0.7016173,False
